Date,Reservoir,System,Capacity_(MCM),Inflow_Last_24H(MCM),Inflow_Since_01/10_(MCM),CurrentStorage(MCM),CurrentStorage(%),Storage_y-1(MCM),Storage_y-1(%),MaxStorage_y-1(MCM),MaxStorage_y-1(date)
2026-02-10,Κούρης,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,115.0,0.257,10.813,14.095,12.26,91.138,79.3,94.238,15/2
2026-02-10,Καλαβασός,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,17.1,0.126,4.07,1.375,8.04,8.877,51.9,9.276,26/3
2026-02-10,Λεύκαρα,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,13.85,0.083,3.427,1.595,11.52,12.879,93.0,13.026,2/2
2026-02-10,Διπόταμος,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,15.5,0.165,5.012,3.315,21.39,10.358,66.8,10.645,26/4
2026-02-10,Γερμασόγεια,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,13.5,0.238,5.724,0.451,3.34,6.404,47.4,7.298,19/2
2026-02-10,Αρμίνου_,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,4.3,0.287,7.463,0.855,19.88,1.983,46.1,4.114,10/5
2026-02-10,Πολεμίδια,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,3.4,0.032,0.947,1.199,35.26,1.895,55.7,2.039,26/3
2026-02-10,Άχνα,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,6.8,0.0,0.0,0.12,1.76,4.252,62.5,4.591,18/2
2026-02-10,Ασπρόκρεμμος,ΠΑΦΟΣ,52.375,0.428,7.286,6.556,12.52,44.101,84.2,45.235,22/2
2026-02-10,Κανναβιού,ΠΑΦΟΣ,17.168,0.164,2.721,2.793,16.27,11.167,65.0,11.566,8/2
2026-02-10,Μαυροκόλυμπος,ΠΑΦΟΣ,2.18,0.004,0.276,1.087,49.86,1.183,54.3,1.323,13/4
2026-02-10,Ευρέτου,ΧΡΥΣΟΧΟΥ,24.0,0.095,2.257,4.316,17.98,17.697,73.7,18.427,19/2
2026-02-10,Αργάκα,ΧΡΥΣΟΧΟΥ,0.99,0.025,0.784,0.324,32.73,0.428,43.2,0.99,6/4-23/4
2026-02-10,Πωμός,ΧΡΥΣΟΧΟΥ,0.86,0.034,0.556,0.814,94.65,0.522,60.7,0.86,17/2-1/5
2026-02-10,Αγία_Μαρίνα,ΧΡΥΣΟΧΟΥ,0.298,0.003,0.069,0.168,56.38,0.118,39.6,0.248,9/6
2026-02-10,Βυζακιά,ΛΕΥΚΩΣΙΑ,1.69,0.027,0.379,0.202,11.95,0.951,56.3,1.146,5/3
2026-02-10,Ξυλιάτος,ΛΕΥΚΩΣΙΑ,1.43,0.035,1.041,0.45,31.47,0.821,57.4,1.269,16/4
2026-02-10,Καλοπαναγιώτης,ΛΕΥΚΩΣΙΑ,0.363,0.0,0.106,0.363,100.0,0.363,100.0,0.363,1/1-25/6
2026-02-10,Ταμασός,ΕΜΠΛΟΥΤΙΣΤΙΚΑ ΚΑΙ ΑΛΛΑ,2.8,0.0,1.695,0.908,32.43,1.539,55.0,2.453,2/4
2026-02-10,Κλήρου-Μαλούντα,ΕΜΠΛΟΥΤΙΣΤΙΚΑ ΚΑΙ ΑΛΛΑ,2.0,0.0,0.827,1.9,95.0,1.846,92.3,2.0,27/1-23/4
2026-02-10,Σολέα,ΕΜΠΛΟΥΤΙΣΤΙΚΑ ΚΑΙ ΑΛΛΑ,4.454,0.039,0.869,3.404565653787017,76.44,4.046,90.8,4.454,5/2-2/4
